RegionName,StateName,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
"New York, NY",NY,519900,519999,515000,519000,538888,549000,550000,568500,569000,559000,549900,550000,559000,554000,549888,549000,550000,569000,579000,584900,580000,575000,569999,575000,579000,579000,578000,575000,579900,598000,595000,599000,599900
"Los Angeles-Long Beach-Anaheim, CA",CA,795000,795000,799000,799000,810000,845000,850000,849999,849000,825000,798888,780000,775000,759900,749900,749000,755000,785000,799900,829000,845000,848000,849000,839999,848000,849000,849000,850000,895000,899900,859000,879650,925000
"Chicago, IL",IL,315000,305000,299000,299000,319900,339000,349000,349900,345000,335900,329800,325000,319900,310000,299900,299900,320000,339000,349000,349500,345500,339500,329900,325000,319900,314500,301640,306000,324900,332500,329000,335000,345500
"Dallas-Fort Worth, TX",TX,344900,340000,342844,345000,350000,359990,369447,369000,359900,349900,344000,339900,339900,339000,335000,334000,339900,349900,355000,359900,354900,349900,344900,340000,340000,340000,335000,331500,338500,340000,339900,349900,356000
"Philadelphia, PA",PA,259990,259000,249900,249000,250000,262250,269900,279000,280000,279900,274970,274900,274900,269000,259000,250000,255000,269900,279900,290000,299000,299000,298900,299890,299900,299000,289900,289000,295000,299900,300000,319990,335000
"Houston, TX",TX,319995,323042,324900,324990,329500,335000,339500,340000,339000,329900,325000,320000,319500,315000,315000,315000,319000,325000,330000,332780,329500,324900,319900,316581,316672,313000,309900,309000,312836,319000,318900,325000,334290
"Washington, DC",DC,459990,439900,427000,425900,439000,457000,460000,475000,489000,475000,464900,459900,459900,449900,439000,439700,450000,475000,490000,499613,499000,489900,479995,485000,488000,485000,479990,484990,499900,525000,515000,529900,550000
"Miami-Fort Lauderdale, FL",FL,395000,395000,395000,395000,395000,399000,399000,399700,399900,399900,399000,399000,398000,395000,395000,395000,394999,398000,399000,399900,399999,400000,400000,399900,399995,399999,400000,399900,399999,400000,398000,395000,399000
"Atlanta, GA",GA,300000,307000,309000,313990,322000,335000,349000,350000,349900,334900,329000,325000,320990,316820,314900,309900,315000,325000,339000,349000,345000,339834,334900,329900,326499,325000,324250,322500,325000,330000,325900,335000,347900
"Boston, MA",MA,549900,549000,534900,539900,554900,594900,599000,599000,589900,549900,529900,539000,536000,529000,525000,529900,544900,575000,589900,599000,595000,589900,574900,574900,578000,575000,574500,575000,599000,619900,599900,624900,642610
"San Francisco, CA",CA,849000,825000,799000,799000,879000,899950,933000,955065,939000,875000,827000,849000,850000,815000,795000,788888,825000,880000,899000,928000,899950,890000,874000,899000,899000,895000,849000,849000,925000,928000,899000,950000,998000
"Detroit, MI",MI,235000,225000,219900,214500,220000,239000,255650,265000,269000,259900,249900,245000,239000,229900,224900,224900,229900,244900,264900,269900,274900,269000,257500,248586,239900,230000,225000,222490,224900,239000,240000,259900,284900
"Riverside, CA",CA,389900,389999,390000,392000,397900,399999,409990,409900,410000,409000,399999,399989,399900,399000,396900,399000,399900,410000,415000,420000,424900,424990,420000,415000,415000,414850,410000,415000,422925,425000,425000,429900,448900
"Phoenix, AZ",AZ,332999,330000,334900,342000,349900,359900,359800,359900,352000,349000,344500,342777,339900,339900,340000,347000,349900,354990,360000,364900,365000,364900,366000,369900,369500,374900,375900,385145,395000,398900,374750,379900,396000
"Seattle, WA",WA,495000,499000,499950,524900,550000,589000,599000,599500,595000,575000,560000,554950,564950,550000,555000,575000,599950,629950,649950,644800,635000,625000,612500,610000,619950,617990,624950,649768,668000,670000,649000,659900,670000
"Minneapolis-St Paul, MN",MN,324900,325000,339900,359800,374990,384900,375000,369900,364000,350000,349000,340000,339000,334900,339900,354900,372371,385000,379900,375000,366860,364500,351197,349900,344990,349000,350000,366793,379900,380000,375000,379900,380000
"San Diego, CA",CA,699900,699000,709990,714900,749000,749000,750000,749000,749000,729000,699990,690000,684000,675000,679000,679000,694900,714500,739900,749000,749000,744000,749000,749000,739000,739850,749000,745000,769000,789000,749900,764000,800000
"St. Louis, MO",MO,198000,193900,189000,189900,194900,204900,215000,219900,219900,219500,219000,219000,215000,210000,204900,204150,214900,229900,239900,245000,246900,243900,239900,239900,235000,229990,228650,234900,240000,244990,249000,259900,264900
"Tampa, FL",FL,270000,269900,269500,269000,269900,275000,279900,284900,284900,279900,275000,274900,269900,269000,265500,265000,269900,275000,284990,290000,290900,289900,289900,289000,285900,284990,282000,280000,284500,285000,279900,289000,298900
"Baltimore, MD",MD,315000,309913,299900,299900,299900,315000,325000,339900,349000,349000,339900,337500,330000,321829,310000,310000,315000,325000,344500,350000,355000,356000,349900,341000,338990,329990,320000,320000,329900,344900,349900,359900,369900
"Denver, CO",CO,,,,,,,,,,500000,495000,487913,478500,474900,479000,489990,500000,525000,525000,519900,515000,504900,499900,498000,495000,499000,501900,525000,548000,549950,530000,535000,549000
"Pittsburgh, PA",PA,174900,174900,169900,169900,169900,179200,180000,185000,184900,179900,179900,179000,175000,172500,169998,169900,173400,183000,189900,195000,199000,199900,199000,196900,188900,184000,179900,180000,189900,199000,199000,209900,225000
"Portland, OR",OR,474900,475000,479890,480000,495000,499950,499950,500000,499900,489900,479900,474900,469900,469900,469900,474900,479900,489900,489950,489950,489923,480000,479900,475000,470000,469960,475000,480000,494999,492545,475000,485000,499000
