"CTYNAME","pop2021","GrowthRate"
"Harris County","4779880","16.3648"
"Dallas County","2647850","11.5829"
"Tarrant County","2144650","18.0013"
"Bexar County","2048290","18.8903"
"Travis County","1328720","28.9393"
"Collin County","1095580","39.1011"
"Denton County","944139","41.6010"
"Hidalgo County","881525","13.1395"
"Fort Bend County","858902","45.5142"
"El Paso County","844064","5.0385"
"Montgomery County","642633","39.9438"
"Williamson County","638727","49.8350"
"Cameron County","425211","4.3130"
"Brazoria County","385018","22.4503"
"Bell County","377978","20.8180"
"Nueces County","362830","6.6379"
"Galveston County","350701","19.9043"
"Lubbock County","316453","12.8976"
"Webb County","279716","11.2766"
"McLennan County","261477","10.8343"
"Jefferson County","248227","-1.6748"
"Hays County","245161","54.9553"
"Smith County","238755","13.4724"
"Brazos County","236071","20.6500"
"Ellis County","196466","30.6577"
"Midland County","185486","35.4169"
"Johnson County","185209","22.4409"
"Ector County","174749","27.4842"
"Guadalupe County","173989","31.2263"
"Comal County","172345","57.6720"
"Parker County","152494","29.9857"
"Kaufman County","151904","46.2415"
"Randall County","141757","16.9815"
"Grayson County","141062","16.5474"
"Taylor County","139514","5.8247"
"Wichita County","133076","0.9727"
"Gregg County","125333","2.7454"
"Tom Green County","121572","9.8430"
"Potter County","114823","-5.3950"
"Rockwall County","113653","44.0122"
"Hunt County","102570","18.7634"
"Liberty County","93053","22.6657"
"Bastrop County","92979","25.0205"
"Victoria County","92496","6.4604"
"Bowie County","92359","-0.3012"
"Angelina County","86525","-0.4373"
"Henderson County","84005","6.7883"
"Orange County","83240","1.4973"
"Coryell County","78371","3.5955"
"Wise County","73384","24.1377"
"Walker County","72641","6.4477"
"San Patricio County","66848","3.7513"
"Harrison County","66491","1.1039"
"Starr County","65401","6.9797"
"Nacogdoches County","65290","0.9353"
"Hood County","64575","25.9558"
"Maverick County","59614","9.5201"
"Waller County","58714","34.9158"
"Hardin County","58592","6.9509"
"Van Zandt County","57838","10.0021"
"Anderson County","57257","-2.1131"
"Rusk County","54616","2.3519"
"Polk County","54149","19.1502"
"Cherokee County","53176","4.3874"
"Medina County","53028","14.9933"
"Kerr County","52970","6.7019"
"Wilson County","52818","22.6870"
"Atascosa County","52815","17.4580"
"Navarro County","51267","7.0985"
"Kendall County","51087","52.0944"
"Lamar County","50119","0.6002"
"Burnet County","49777","16.4048"
"Val Verde County","49099","0.2614"
"Chambers County","47057","32.7194"
"Wood County","46303","10.3056"
"Caldwell County","44670","17.1611"
"Erath County","43648","15.1298"
"Upshur County","42901","8.9494"
"Cooke County","42763","11.1536"
"Wharton County","41670","0.9423"
"Jim Wells County","39934","-2.3475"
"Howard County","38142","8.9989"
"Brown County","37952","-0.3257"
"Hopkins County","37776","7.2938"
"Hill County","37617","7.0368"
"Matagorda County","36797","0.2397"
"Washington County","36654","8.7398"
"Fannin County","36172","6.6392"
"Jasper County","35049","-2.0348"
"Hale County","32956","-9.1345"
"Titus County","32764","1.0642"
"Bee County","32761","2.8151"
"Kleberg County","30596","-4.4979"
"Austin County","30166","6.3569"
"Grimes County","30058","12.9321"
"Cass County","29866","-1.9404"
"Palo Pinto County","29819","6.1363"
"San Jacinto County","29143","10.0816"
"Gillespie County","27560","10.7984"
"Uvalde County","26649","0.7790"
"Fayette County","25482","3.7710"
"Shelby County","25208","-0.9820"
"Milam County","24379","-1.2236"
"Bandera County","23752","15.5309"
"Aransas County","23638","1.9714"
"Limestone County","23625","0.5662"
"Panola County","23298","-1.9939"
"Hockley County","23121","1.1727"
"Gaines County","22836","29.8385"
"Houston County","22768","-3.8595"
"Llano County","22185","14.7342"
"Lampasas County","22016","11.4057"
"Colorado County","21869","4.7767"
"Tyler County","21798","0.1562"
"Gray County","21556","-4.0676"
"Willacy County","21174","-4.7289"
"Gonzales County","20949","5.8191"
"Calhoun County","20862","-2.1161"
"Moore County","20654","-6.1395"
"Hutchinson County","20576","-7.3737"
"Jones County","20517","1.3786"
"Frio County","20496","18.7761"
"Montague County","20286","2.8806"
"DeWitt County","20268","1.0671"
